City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Georgetown,MY,80.89,overcast clouds,5.4112,100.3354,Cititel Penang
10,Butaritari,KI,82.72,broken clouds,3.0707,172.7902,Isles Sunset Lodge
11,Caravelas,BR,82.18,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
16,Atuona,PF,77.65,scattered clouds,-9.8,-139.0333,Villa Enata
23,Salvador,SV,81.05,overcast clouds,13.8333,-88.9167,Chico's Ranch
24,Alofi,NU,76.06,few clouds,-19.0595,-169.9187,Taloa Heights
29,Nhulunbuy,AU,79.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
30,Hilo,US,78.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
33,Port Hedland,AU,79.97,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
47,Kalmunai,LK,81.91,scattered clouds,7.4167,81.8167,VS Villa
50,Avarua,CK,76.12,light rain,-21.2078,-159.775,Paradise Inn
52,Faanui,PF,78.3,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
55,Jalaun,IN,85.37,overcast clouds,26.1451,79.3366,Muskan maiching Center
56,Lhokseumawe,ID,76.48,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
59,Fukue,JP,75.38,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
69,Fortuna,US,84.92,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
72,Eydhafushi,MV,83.37,scattered clouds,5.1033,73.0708,Soneva Fushi
73,Sabha,LY,89.89,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
76,Laguna,US,89.87,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
81,Nantucket,US,75.61,broken clouds,41.2835,-70.0995,Jared Coffin House
84,Maumere,ID,78.26,overcast clouds,-8.6199,122.2111,Sylvia Hotel
88,Kavaratti,IN,81.54,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
89,Fairmont,US,80.04,overcast clouds,39.4851,-80.1426,Clarion Inn
92,Rincon,US,84.9,overcast clouds,32.296,-81.2354,Days Inn Rincon
96,Surt,LY,83.48,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
100,Sinnamary,GF,84.92,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
104,Lata,PT,75.04,clear sky,40.1629,-8.3327,Casa Maquia
108,Jamestown,US,75.02,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
113,Port Blair,IN,79.86,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
119,Padang,ID,77.18,overcast clouds,-0.9492,100.3543,Mercure Padang
126,Hithadhoo,MV,83.44,broken clouds,-0.6,73.0833,Scoop Guest House
128,Sardinata,CO,89.29,overcast clouds,8.0829,-72.8007,Hotel El Turpial
130,San Policarpo,PH,81.57,broken clouds,12.1791,125.5072,Manong Aklan Resort
134,Labuhan,ID,79.07,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
138,Darnah,LY,79.63,clear sky,32.767,22.6367,فندق الفردوس
148,San Juan Del Sur,NI,83.37,broken clouds,11.2529,-85.8705,Nuestra Casa
151,Kapaa,US,77.47,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
152,Lorengau,PG,80.22,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
154,Sao Filipe,CV,81.95,broken clouds,14.8961,-24.4956,Hotel Xaguate
158,Harper,LR,78.75,scattered clouds,4.375,-7.7169,Screensaver
162,Cabo San Lucas,MX,89.62,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
163,Vanimo,PG,78.04,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
166,Honiara,SB,76.15,scattered clouds,-9.4333,159.95,Heritage Park Hotel
167,Soyo,AO,75.45,few clouds,-6.1349,12.3689,Hotel Mpampa
174,Victoria,HK,85.32,light rain,22.2855,114.1577,Mini Hotel Central
175,Saint George,US,79.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
177,Kinshasa,CD,84.81,broken clouds,-4.3246,15.3215,Flat Hotel Alhdeef
181,Eureka,US,85.19,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
