City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jiuquan,CN,39.7432,98.5174,62.83,30,83,0.51,broken clouds
1,Tuktoyaktuk,CA,69.4541,-133.0374,36.55,66,100,18.5,overcast clouds
2,Killybegs,IE,54.6333,-8.45,59.45,83,87,17.02,overcast clouds
3,Thompson,CA,55.7435,-97.8558,47.79,56,97,2.28,overcast clouds
4,Kaitangata,NZ,-46.2817,169.8464,38.5,91,15,7.09,light rain
5,San Patricio,US,28.017,-97.5169,95.02,43,0,6.33,clear sky
6,Georgetown,MY,5.4112,100.3354,80.89,88,98,6.44,overcast clouds
7,Saldanha,ZA,-33.0117,17.9442,56.88,74,0,14.0,clear sky
8,Torbay,CA,47.6666,-52.7314,63.88,54,67,10.83,broken clouds
9,Cherskiy,RU,68.75,161.3,26.01,73,88,4.12,overcast clouds
10,Butaritari,KI,3.0707,172.7902,82.72,69,78,15.93,broken clouds
11,Caravelas,BR,-17.7125,-39.2481,82.18,64,5,12.19,clear sky
12,Hobart,AU,-42.8794,147.3294,51.12,84,83,1.01,broken clouds
13,New Norfolk,AU,-42.7826,147.0587,50.76,72,99,1.99,overcast clouds
14,Nome,US,64.5011,-165.4064,30.22,75,100,4.65,overcast clouds
15,Vaini,TO,-21.2,-175.2,73.04,69,45,16.42,scattered clouds
16,Atuona,PF,-9.8,-139.0333,77.65,74,33,23.73,scattered clouds
17,Saint-Philippe,RE,-21.3585,55.7679,67.21,73,39,11.88,scattered clouds
18,Rikitea,PF,-23.1203,-134.9692,73.63,71,1,14.72,clear sky
19,Yellowknife,CA,62.456,-114.3525,48.29,71,100,17.31,overcast clouds
20,Punta Arenas,CL,-53.15,-70.9167,50.95,75,100,15.88,overcast clouds
21,Khasan,RU,42.4308,130.6434,65.77,96,34,4.27,scattered clouds
22,Huarmey,PE,-10.0681,-78.1522,68.56,71,11,12.28,few clouds
23,Salvador,SV,13.8333,-88.9167,81.05,73,97,1.57,overcast clouds
24,Alofi,NU,-19.0595,-169.9187,76.06,76,19,14.25,few clouds
25,Mataura,NZ,-46.1927,168.8643,44.47,98,38,2.89,scattered clouds
26,Bredasdorp,ZA,-34.5322,20.0403,54.28,83,24,6.33,few clouds
27,Nuuk,GL,64.1835,-51.7216,34.57,54,99,3.22,overcast clouds
28,Tasiilaq,GL,65.6145,-37.6368,30.16,55,100,7.0,overcast clouds
29,Nhulunbuy,AU,-12.2333,136.7667,79.21,58,36,22.64,scattered clouds
30,Hilo,US,19.7297,-155.09,78.28,83,79,6.38,light rain
31,Clyde River,CA,70.4692,-68.5914,31.17,68,58,8.84,broken clouds
32,Vostok,RU,46.4856,135.8833,50.63,98,100,2.93,overcast clouds
33,Port Hedland,AU,-20.3167,118.5667,79.97,33,100,21.3,overcast clouds
34,Bambous Virieux,MU,-20.3428,57.7575,70.21,70,29,13.94,scattered clouds
35,Barrow,US,71.2906,-156.7887,29.46,89,100,18.84,light snow
36,Luderitz,NA,-26.6481,15.1594,64.92,52,8,9.6,clear sky
37,Waipawa,NZ,-41.4122,175.5153,53.46,80,100,6.11,overcast clouds
38,Ostersund,SE,63.1792,14.6357,39.49,98,100,4.61,overcast clouds
39,Saint-Augustin,CA,51.226,-58.6502,72.79,48,33,18.61,scattered clouds
40,Muyezerskiy,RU,63.9333,31.65,35.67,85,91,3.02,overcast clouds
41,Fairbanks,US,64.8378,-147.7164,33.1,73,100,4.41,overcast clouds
42,Chippewa Falls,US,44.9369,-91.3929,66.88,57,1,11.7,clear sky
43,Ushuaia,AR,-54.8,-68.3,48.9,81,100,3.38,overcast clouds
44,Havoysund,NO,70.9963,24.6622,44.42,67,10,25.28,clear sky
45,Teguise,ES,29.0605,-13.564,69.44,73,52,18.86,broken clouds
46,Lagoa,PT,39.05,-27.9833,70.48,76,3,14.58,clear sky
47,Kalmunai,LK,7.4167,81.8167,81.91,76,42,4.45,scattered clouds
48,Nikolskoye,RU,59.7035,30.7861,44.02,83,100,5.19,light rain
49,Hermanus,ZA,-34.4187,19.2345,53.8,73,32,13.85,scattered clouds
50,Avarua,CK,-21.2078,-159.775,76.12,72,98,3.85,light rain
51,Sambava,MG,-14.2667,50.1667,73.29,73,39,13.94,scattered clouds
52,Faanui,PF,-16.4833,-151.75,78.3,72,6,8.25,clear sky
53,Bluff,NZ,-46.6,168.3333,44.8,73,32,17.18,light rain
54,Upernavik,GL,72.7868,-56.1549,23.52,52,12,5.01,few clouds
55,Jalaun,IN,26.1451,79.3366,85.37,69,100,6.08,overcast clouds
56,Lhokseumawe,ID,5.1801,97.1507,76.48,91,100,6.38,overcast clouds
57,Leningradskiy,RU,69.3833,178.4167,22.3,89,100,12.68,overcast clouds
58,Hualmay,PE,-11.0964,-77.6139,67.73,71,27,10.4,scattered clouds
59,Fukue,JP,32.6881,128.8419,75.38,76,50,11.54,scattered clouds
60,Faya,SA,18.3851,42.4509,70.56,42,88,6.96,overcast clouds
61,Soledade,BR,-28.8183,-52.5103,56.1,81,100,9.73,overcast clouds
62,Nsoko,SZ,-27.0333,31.95,60.4,65,38,8.05,scattered clouds
63,Kodiak,US,57.79,-152.4072,42.26,50,0,27.74,clear sky
64,Ribeira Grande,PT,38.5167,-28.7,71.71,78,10,15.99,clear sky
65,Belyy Yar,RU,53.6039,91.3903,40.39,68,56,13.33,broken clouds
66,Trofors,NO,65.5333,13.4063,43.21,95,100,6.64,overcast clouds
67,Hailey,US,43.5196,-114.3153,60.89,40,0,4.0,clear sky
68,Opuwo,NA,-18.0607,13.84,82.69,17,29,6.35,scattered clouds
69,Fortuna,US,40.5982,-124.1573,84.92,42,0,1.99,clear sky
70,Pevek,RU,69.7008,170.3133,25.43,90,88,6.6,overcast clouds
71,Nizhniy Kuranakh,RU,58.8353,125.4869,39.97,88,4,3.56,clear sky
72,Eydhafushi,MV,5.1033,73.0708,83.37,75,31,16.73,scattered clouds
73,Sabha,LY,27.0377,14.4283,89.89,13,0,8.59,clear sky
74,Pastavy,BY,55.1168,26.8326,39.43,98,100,9.91,overcast clouds
75,Puerto Ayora,EC,-0.7393,-90.3518,72.55,84,82,7.0,broken clouds
76,Laguna,US,38.421,-121.4238,89.87,38,0,1.01,clear sky
77,Albany,US,42.6001,-73.9662,74.37,62,100,1.99,overcast clouds
