City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2021-09-21 15:41:22,-33.9258,18.4232,61.88,66,1,5.99
1,Longyearbyen,SJ,2021-09-21 15:43:10,78.2186,15.6401,43.0,95,100,3.49
2,Victoria,HK,2021-09-21 15:43:36,22.2855,114.1577,85.32,85,51,7.25
3,Baijiantan,CN,2021-09-21 15:52:03,45.6333,85.1833,64.27,16,100,14.67
4,Champerico,GT,2021-09-21 15:52:03,14.3,-91.9167,95.76,76,98,3.31
5,Provideniya,RU,2021-09-21 15:42:01,64.3833,-173.3,33.46,88,100,12.01
6,Bambous Virieux,MU,2021-09-21 15:42:28,-20.3428,57.7575,71.22,68,38,14.14
7,Mponela,MW,2021-09-21 15:52:03,-13.5319,33.7401,73.27,31,15,5.48
8,Buala,SB,2021-09-21 15:42:37,-8.145,159.5921,79.07,84,72,5.53
9,Chuzhou,CN,2021-09-21 15:52:04,32.3219,118.2978,73.74,81,0,5.86
10,Vila Franca Do Campo,PT,2021-09-21 15:44:02,37.7167,-25.4333,73.96,62,26,8.43
11,Punta Arenas,CL,2021-09-21 15:39:36,-53.15,-70.9167,51.3,74,100,17.0
12,Tuktoyaktuk,CA,2021-09-21 15:43:28,69.4541,-133.0374,34.99,73,100,21.85
13,Georgetown,MY,2021-09-21 15:42:43,5.4112,100.3354,80.89,84,98,5.64
14,Atuona,PF,2021-09-21 15:42:32,-9.8,-139.0333,77.2,78,18,20.87
15,Hithadhoo,MV,2021-09-21 15:43:10,-0.6,73.0833,84.07,74,75,16.55
16,Hobart,AU,2021-09-21 15:42:35,-42.8794,147.3294,53.06,79,98,3.0
17,Yangjiang,CN,2021-09-21 15:52:05,21.85,111.9667,80.65,87,94,3.22
18,Ribeira Grande,PT,2021-09-21 15:42:33,38.5167,-28.7,71.51,79,14,18.43
19,Bluff,NZ,2021-09-21 15:42:27,-46.6,168.3333,45.81,76,40,15.79
20,Busselton,AU,2021-09-21 15:42:28,-33.65,115.3333,53.1,71,0,4.54
21,Kalengwa,ZM,2021-09-21 15:52:05,-13.4659,25.0027,89.08,7,0,9.75
22,Tevriz,RU,2021-09-21 15:52:05,57.509,72.4042,37.67,89,100,8.46
23,Kavaratti,IN,2021-09-21 15:43:08,10.5669,72.642,81.97,79,12,15.28
24,Jamestown,US,2021-09-21 15:42:37,42.097,-79.2353,70.02,71,100,8.99
25,Barrow,US,2021-09-21 15:43:02,71.2906,-156.7887,28.42,92,100,19.82
26,Teknaf,BD,2021-09-21 15:52:06,20.8624,92.3058,79.41,85,100,4.07
27,Hilo,US,2021-09-21 15:42:44,19.7297,-155.09,76.28,84,74,3.4
28,Rikitea,PF,2021-09-21 15:42:27,-23.1203,-134.9692,73.67,71,0,14.76
29,Yellowknife,CA,2021-09-21 15:42:33,62.456,-114.3525,43.84,81,100,16.33
30,Lavrentiya,RU,2021-09-21 15:41:00,65.5833,-171.0,31.17,66,92,6.8
31,Bredasdorp,ZA,2021-09-21 15:39:54,-34.5322,20.0403,62.28,66,34,9.4
32,Nanortalik,GL,2021-09-21 15:42:42,60.1432,-45.2371,37.71,71,96,20.33
33,Hermanus,ZA,2021-09-21 15:42:31,-34.4187,19.2345,62.8,65,48,15.39
34,Portland,US,2021-09-21 15:44:13,45.5234,-122.6762,65.86,76,0,1.01
35,Saskylakh,RU,2021-09-21 15:42:35,71.9167,114.0833,33.44,92,100,6.08
36,Saint-Georges,GD,2021-09-21 15:52:07,12.0564,-61.7485,83.89,72,24,11.79
37,Kapaa,US,2021-09-21 15:42:38,22.0752,-159.319,71.47,98,16,13.38
38,Severo-Kurilsk,RU,2021-09-21 15:43:00,50.6789,156.125,48.58,86,56,15.14
39,Mar Del Plata,AR,2021-09-21 15:42:38,-38.0023,-57.5575,55.06,55,0,8.43
40,Isangel,VU,2021-09-21 15:43:57,-19.55,169.2667,71.06,79,33,4.72
41,Poum,NC,2021-09-21 15:50:01,-20.2333,164.0167,73.83,70,98,8.48
42,Evensk,RU,2021-09-21 15:50:19,61.95,159.2333,45.14,87,100,19.93
43,Dikson,RU,2021-09-21 15:42:42,73.5069,80.5464,33.76,75,93,3.78
44,Ilulissat,GL,2021-09-21 15:43:44,69.2167,-51.1,27.59,86,97,1.39
45,Carnarvon,AU,2021-09-21 15:43:06,-24.8667,113.6333,70.66,58,0,14.03
46,Kaitangata,NZ,2021-09-21 15:42:27,-46.2817,169.8464,39.34,90,12,7.0
47,Ushuaia,AR,2021-09-21 15:39:18,-54.8,-68.3,47.71,85,100,4.65
48,Geraldton,AU,2021-09-21 15:42:37,-28.7667,114.6,66.72,32,0,8.84
49,Uray,RU,2021-09-21 15:52:09,60.1247,64.7758,38.89,76,95,7.0
50,Karatau,KZ,2021-09-21 15:52:09,43.1667,70.4667,59.95,21,0,5.41
51,Beloha,MG,2021-09-21 15:43:37,-25.1667,45.05,70.09,62,22,8.5
52,Cabo San Lucas,MX,2021-09-21 15:44:00,22.8909,-109.9124,84.51,82,94,6.22
53,Cowra,AU,2021-09-21 15:52:10,-33.8333,148.6833,33.08,93,0,1.03
54,Wanning,CN,2021-09-21 15:50:58,18.8003,110.3967,80.42,86,51,3.27
55,Kamaishi,JP,2021-09-21 15:52:10,39.2667,141.8833,65.17,92,23,7.36
56,Sao Filipe,CV,2021-09-21 15:43:50,14.8961,-24.4956,81.55,75,44,11.32
57,Bengkulu,ID,2021-09-21 15:42:39,-3.8004,102.2655,76.3,89,97,4.25
58,Dongsheng,CN,2021-09-21 15:46:45,39.8161,109.9776,64.18,28,24,4.94
59,Mahebourg,MU,2021-09-21 15:43:08,-20.4081,57.7,71.26,68,23,14.03
60,Trairi,BR,2021-09-21 15:50:16,-3.2778,-39.2689,88.18,49,59,16.13
61,Bandarbeyla,SO,2021-09-21 15:44:16,9.4942,50.8122,77.52,81,99,28.68
62,Lasa,IT,2021-09-21 15:44:24,46.6166,10.7002,62.37,55,7,2.42
63,Pevek,RU,2021-09-21 15:43:13,69.7008,170.3133,26.2,90,98,5.37
64,Fayetteville,US,2021-09-21 15:52:11,35.0527,-78.8784,80.96,96,100,3.0
65,Turtas,RU,2021-09-21 15:52:11,58.9417,69.1325,39.99,82,100,8.55
66,Avarua,CK,2021-09-21 15:42:40,-21.2078,-159.775,75.29,75,100,2.57
67,Lazaro Cardenas,MX,2021-09-21 15:44:36,17.9583,-102.2,81.7,73,91,2.13
68,Puerto Ayora,EC,2021-09-21 15:39:34,-0.7393,-90.3518,72.55,79,86,8.01
69,Albany,US,2021-09-21 15:42:27,42.6001,-73.9662,71.73,70,100,1.01
70,Olinda,BR,2021-09-21 15:43:50,-8.0089,-34.8553,81.14,62,12,8.5
71,Nikolskoye,RU,2021-09-21 15:42:30,59.7035,30.7861,48.02,80,100,7.9
72,Barcelona,ES,2021-09-21 15:50:25,41.3888,2.159,75.02,59,94,1.99
73,Saint-Philippe,RE,2021-09-21 15:43:14,-21.3585,55.7679,68.22,72,40,10.63
74,Mataura,NZ,2021-09-21 15:42:30,-46.1927,168.8643,45.48,98,35,2.08
75,Amapa,BR,2021-09-21 15:52:13,1.0,-52.0,95.72,37,64,4.34
76,Weligama,LK,2021-09-21 15:49:27,5.9667,80.4167,78.39,88,10,8.1
77,Nome,US,2021-09-21 15:43:26,64.5011,-165.4064,29.05,78,100,5.32
78,Les Cayes,HT,2021-09-21 15:47:15,18.2,-73.75,88.72,57,0,8.34
79,Neiafu,TO,2021-09-21 15:52:13,-18.65,-173.9833,76.39,77,15,17.16
80,Vaini,TO,2021-09-21 15:42:36,-21.2,-175.2,72.59,72,56,17.52
81,Krasnobrodskiy,RU,2021-09-21 15:52:13,54.1581,86.4486,36.37,96,100,10.94
82,Myitkyina,MM,2021-09-21 15:50:30,25.3833,97.4,74.14,98,100,0.72
83,Pacific Grove,US,2021-09-21 15:43:31,36.6177,-121.9166,78.62,63,0,1.01
84,Bara,NG,2021-09-21 15:52:14,10.3744,10.7288,84.65,67,54,3.53
85,Matay,EG,2021-09-21 15:44:16,28.419,30.7792,95.0,17,0,13.76
86,Mayumba,GA,2021-09-21 15:52:14,-3.432,10.6554,76.57,82,100,7.65
87,Upington,ZA,2021-09-21 15:52:15,-28.4478,21.2561,76.48,7,0,9.78
88,Tiarei,PF,2021-09-21 15:44:14,-17.5333,-149.3333,77.38,76,3,9.15
89,Sapa,PH,2021-09-21 15:52:15,5.1544,120.3241,79.23,85,100,9.15
90,Anadyr,RU,2021-09-21 15:49:53,64.75,177.4833,34.63,99,100,2.37
91,Qaanaaq,GL,2021-09-21 15:39:44,77.484,-69.3632,13.62,71,62,9.71
92,Nosy Varika,MG,2021-09-21 15:52:15,-20.5833,48.5333,69.69,83,10,7.78
93,Rio Gallegos,AR,2021-09-21 15:42:34,-51.6226,-69.2181,60.33,52,84,4.7
94,Thinadhoo,MV,2021-09-21 15:43:48,0.5333,72.9333,84.27,74,6,15.46
95,Alice Springs,AU,2021-09-21 15:52:16,-23.7,133.8833,49.69,36,15,17.9
96,Iqaluit,CA,2021-09-21 15:41:40,63.7506,-68.5145,32.23,97,100,19.71
97,Constitucion,CL,2021-09-21 15:42:40,-35.3333,-72.4167,58.89,61,0,9.95
98,Cidreira,BR,2021-09-21 15:43:06,-30.1811,-50.2056,62.22,74,100,18.9
99,Port Moresby,PG,2021-09-21 15:52:16,-9.4431,147.1797,75.07,94,100,10.29
100,La Libertad,EC,2021-09-21 15:51:01,-2.2333,-80.9,72.3,77,99,8.01
101,Port Keats,AU,2021-09-21 15:50:44,-14.25,129.55,84.67,26,98,16.33
102,Asau,RO,2021-09-21 15:43:43,46.4333,26.4,56.75,61,50,3.83
103,Brus Laguna,HN,2021-09-21 15:52:17,15.75,-84.4833,89.04,55,44,5.5
104,East London,ZA,2021-09-21 15:42:32,-33.0153,27.9116,62.31,54,99,10.29
105,Kosa,RU,2021-09-21 15:52:17,59.9445,54.9977,34.57,86,30,4.03
106,Lebu,CL,2021-09-21 15:42:32,-37.6167,-73.65,56.68,58,0,8.7
107,Upernavik,GL,2021-09-21 15:43:38,72.7868,-56.1549,23.68,54,13,5.3
108,Xinxiang,CN,2021-09-21 15:52:17,35.3089,113.8672,71.1,59,0,4.25
109,Valparaiso,CL,2021-09-21 15:40:03,-33.0393,-71.6273,57.51,77,31,12.12
110,Krasnoselkup,RU,2021-09-21 15:50:57,65.7,82.4667,29.95,89,96,12.03
111,Chokurdakh,RU,2021-09-21 15:40:33,70.6333,147.9167,29.95,62,100,8.05
112,Port Hedland,AU,2021-09-21 15:44:08,-20.3167,118.5667,81.7,36,99,20.58
113,Talara,PE,2021-09-21 15:52:18,-4.5772,-81.2719,71.44,70,20,18.03
114,Dunedin,NZ,2021-09-21 15:49:31,-45.8742,170.5036,45.81,69,8,3.0
115,Alakurtti,RU,2021-09-21 15:52:18,66.9672,30.3491,39.63,82,61,4.27
116,Pontes E Lacerda,BR,2021-09-21 15:52:19,-15.2261,-59.3353,106.41,11,63,4.68
117,Chuy,UY,2021-09-21 15:43:19,-33.6971,-53.4616,58.19,64,2,16.02
118,Sisimiut,GL,2021-09-21 15:39:54,66.9395,-53.6735,35.29,66,83,10.0
119,Guasdualito,VE,2021-09-21 15:52:19,7.2424,-70.7324,80.02,89,96,2.91
120,Atar,MR,2021-09-21 15:44:05,20.5169,-13.0499,103.05,14,5,12.44
121,Jiblah,YE,2021-09-21 15:52:19,13.9216,44.1467,69.67,64,96,1.57
122,Aktash,RU,2021-09-21 15:52:19,50.3,87.7333,25.38,70,91,3.29
123,New Norfolk,AU,2021-09-21 15:42:29,-42.7826,147.0587,52.72,72,100,5.99
124,Luwuk,ID,2021-09-21 15:52:20,-0.9516,122.7875,73.06,88,100,4.5
125,Vila Velha,BR,2021-09-21 15:43:47,-20.3297,-40.2925,85.46,60,0,11.7
126,Los Llanos De Aridane,ES,2021-09-21 15:43:58,28.6585,-17.9182,71.13,78,13,8.66
127,Manavalakurichi,IN,2021-09-21 15:52:20,8.1333,77.3,80.35,84,13,15.03
128,Deniliquin,AU,2021-09-21 15:52:20,-35.5333,144.9667,46.99,85,53,5.97
129,Tura,IN,2021-09-21 15:42:32,25.5198,90.2201,72.93,85,100,3.36
130,Ankang,CN,2021-09-21 15:52:21,32.68,109.0172,69.94,86,21,0.36
131,Srednekolymsk,RU,2021-09-21 15:44:36,67.45,153.6833,27.05,68,61,5.21
